"Send Test Email","Send Test Email"
"Invalid or blank username/password","Invalid or blank username/password"
"Test Email send to you. Please check your email account : ","Test Email send to you. Please check your email account : "
"Emizen Tech","Emizen Tech"
"Custom Smtp","Custom Smtp"
"Emizen Tech SMPT","Emizen Tech SMPT"
"SMTP Host : ","SMTP Host : "
"Username : ","Username : "
"Password : ","Password : "
"Auth Method : ","Auth Method : "
"SSL type : ","SSL type : "
"Port : ","Port : "
"Email Id : ","Email Id : "
"Click to Test Configuration : ","Click to Test Configuration : "
